Date,Session Title,Player Name,Split Name,Tags,Split Start Time,Split End Time,Duration,Distance (km),Sprint Distance (m),Power Plays,Energy (kcal),Impacts,Hr Load,Time In Red Zone (min),Player Load,Top Speed (km/h),Distance Per Min (m/min),Power Score (w/kg),Work Ratio,Hr Max (bpm),Max Deceleration (m/s/s),Max Acceleration (m/s/s),Distance in Speed Zone 1  (km),Distance in Speed Zone 2  (km),Distance in Speed Zone 3  (km),Distance in Speed Zone 4  (km),Distance in Speed Zone 5  (km),Time in Speed Zone 1 (secs),Time in Speed Zone 2 (secs),Time in Speed Zone 3 (secs),Time in Speed Zone 4 (secs),Time in Speed Zone 5 (secs),Impact Zones: 3 - 5 G (Impacts),Impact Zones: 5 - 10 G (Impacts),Impact Zones: 10 - 15 G (Impacts),Impact Zones: 15 - 20 G (Impacts),Impact Zones: > 20 G (Impacts),Power Play Duration Zones: 0 - 2.5 s (Power Plays),Power Play Duration Zones: 2.5 - 5 s (Power Plays),Power Play Duration Zones: 5 - 7.5 s (Power Plays),Power Play Duration Zones: 7.5 - 10 s (Power Plays),Power Play Duration Zones: > 10 s (Power Plays),Distance in Deceleration Zones: 0 - 1 m/s/s  (km),Distance in Deceleration Zones: 1 - 2 m/s/s  (km),Distance in Deceleration Zones: 2 - 3 m/s/s  (km),Distance in Deceleration Zones: 3 - 4 m/s/s  (km),Distance in Deceleration Zones: > 4 m/s/s  (km),Time in Deceleration Zones: 0 - 1 m/s/s (secs),Time in Deceleration Zones: 1 - 2 m/s/s (secs),Time in Deceleration Zones: 2 - 3 m/s/s (secs),Time in Deceleration Zones: 3 - 4 m/s/s (secs),Time in Deceleration Zones: > 4 m/s/s (secs),Distance in Acceleration Zones: 0 - 1 m/s/s  (km),Distance in Acceleration Zones: 1 - 2 m/s/s  (km),Distance in Acceleration Zones: 2 - 3 m/s/s  (km),Distance in Acceleration Zones: 3 - 4 m/s/s  (km),Distance in Acceleration Zones: > 4 m/s/s  (km),Time in Acceleration Zones: 0 - 1 m/s/s (secs),Time in Acceleration Zones: 1 - 2 m/s/s (secs),Time in Acceleration Zones: 2 - 3 m/s/s (secs),Time in Acceleration Zones: 3 - 4 m/s/s (secs),Time in Acceleration Zones: > 4 m/s/s (secs),Distance in Power Zone: 0 - 5 w/kg  (km),Distance in Power Zone: 5 - 10 w/kg  (km),Distance in Power Zone: 10 - 15 w/kg  (km),Distance in Power Zone: 15 - 20 w/kg  (km),Distance in Power Zone: 20 - 25 w/kg  (km),Distance in Power Zone: 25 - 30 w/kg  (km),Distance in Power Zone: 30 - 35 w/kg  (km),Distance in Power Zone: 35 - 40 w/kg  (km),Distance in Power Zone: 40 - 45 w/kg  (km),Distance in Power Zone: 45 - 50 w/kg  (km),Distance in Power Zone: > 50 w/kg  (km),Time in Power Zone: 0 - 5 w/kg (secs),Time in Power Zone: 5 - 10 w/kg (secs),Time in Power Zone: 10 - 15 w/kg (secs),Time in Power Zone: 15 - 20 w/kg (secs),Time in Power Zone: 20 - 25 w/kg (secs),Time in Power Zone: 25 - 30 w/kg (secs),Time in Power Zone: 30 - 35 w/kg (secs),Time in Power Zone: 35 - 40 w/kg (secs),Time in Power Zone: 40 - 45 w/kg (secs),Time in Power Zone: 45 - 50 w/kg (secs),Time in Power Zone: > 50 w/kg (secs),Time in HR Load Zone 0% - 60% Max HR(secs),Time in HR Load Zone 60% - 75% Max HR (secs),Time in HR Load Zone 75% - 85% Max HR (secs),Time in HR Load Zone 85% - 96% Max HR (secs),Time in HR Load Zone 96% - 100% Max HR (secs),Accelerations Zone Count: 0 - 1 m/s/s,Accelerations Zone Count: 1 - 2 m/s/s,Accelerations Zone Count: 2 - 3 m/s/s,Accelerations Zone Count: 3 - 4 m/s/s,Accelerations Zone Count: > 4 m/s/s,Deceleration Zone Count: 0 - 1 m/s/s,Deceleration Zone Count: 1 - 2 m/s/s,Deceleration Zone Count: 2 - 3 m/s/s,Deceleration Zone Count: 3 - 4 m/s/s,Deceleration Zone Count: > 4 m/s/s
46138,MU - FKT U17 - Admira Praha U17 - 26.4. 2026,Kredl,all, game, 46138.532929398,46138.616112269,"7187",11.0627,1106.816,69,1298.6596,2,0,0,412.3957,29.0722,92.3556,7.201,38.9968,0,6.4593,5.8267,"1.0019","5.9017","3.0523","0.9741","0.1328","2687.8","3501.4","810.8","169.3","17.7","100","2","0","0","0","0","34","21","8","6","4.6569","0.8083","0.1803","0.0672","0.0322","2838.2","318.6","60.8","19.3","8.6","4.333","0.7258","0.1916","0.0548","0.0126","3519.6","315","76","24.5","6.4","2.0124","3.307","2.2271","1.4499","0.8072","0.4795","0.3131","0.1694","0.1021","0.0684","0.1266","3542.7","2000","792.6","397.1","187.6","99.9","62.7","35.4","22","15.6","31.4","7187","0","0","0","0","0","200","129","53","28","0","235","107","42","28"
46138,MU - FKT U17 - Admira Praha U17 - 26.4. 2026,Lesiv,all, game, 46138.532400463,46138.621144676,"7668",10.7193,745.424,50,1250.8326,4,0,0,411.5272,31.1603,83.8754,6.5007,35.987,0,7.8667,6.3823,"1.1418","5.8348","2.9973","0.6051","0.1404","3272.2","3451.4","819.5","106.3","18.1","69","4","0","0","0","0","29","10","8","3","4.4572","0.7316","0.1976","0.0649","0.0484","2989.2","333.8","69.8","19.8","13.3","4.2223","0.7797","0.174","0.0392","0.0044","3782.2","358","80","18.9","2.5","2.0671","3.2805","2.4069","1.3503","0.6656","0.3385","0.2207","0.1455","0.0735","0.0615","0.1089","4047.9","2008.9","851","384.8","165.7","78.1","48.4","30.3","16.7","12.6","23.1","7667.5","0","0","0","0","0","236","139","58","13","0","228","111","46","36"
46138,MU - FKT U17 - Admira Praha U17 - 26.4. 2026,Secondino,all, game, 46138.532086806,46138.61881713,"7494",12.2855,1960.923,105,1508.8897,3,0,0,537.2431,29.4242,98.3627,8.0239,40.1521,0,6.1963,5.6404,"0.917","5.4243","3.9832","1.7321","0.2288","2942.8","3179.9","1038.3","301.6","30.9","286","3","0","0","0","0","44","32","13","16","4.6546","1.1625","0.3157","0.0982","0.0372","2723.1","428.7","103.6","31.7","11","4.5181","1.1355","0.2939","0.059","0.0106","3606.2","442.9","115.2","26","5.1","1.8033","2.869","2.2578","1.8833","1.3176","0.8829","0.5092","0.3","0.1645","0.1112","0.1866","3688.7","1745.9","803.2","507","301.6","183.5","100.3","62.6","34.3","23.9","42.5","7493.5","0","0","0","0","0","250","202","81","25","0","271","166","69","41"
46138,MU - FKT U17 - Admira Praha U17 - 26.4. 2026,Kuttner,all, game, 46138.532788194,46138.594501157,"5332",8.9999,1179.74,70,1075.178,1,0,0,367.5422,30.9922,101.2742,8.037,42.9407,0,6.0778,6.3556,"0.6601","4.2115","2.9485","1.0462","0.1335","1909.7","2435.7","787.3","181.6","17.7","157","1","0","0","0","0","34","17","12","7","3.6042","0.681","0.2185","0.0745","0.0212","1999.2","258.2","71.5","21","5.6","3.4593","0.7353","0.1703","0.028","0.0076","2590.7","295.7","72","14","4.1","1.3253","2.1855","2.0245","1.3792","0.8249","0.5095","0.2869","0.1739","0.1118","0.0813","0.0971","2466","1325.2","710.1","380.4","191.1","104.8","58.8","34","22.9","17.3","21.4","5332","0","0","0","0","0","207","125","37","16","0","172","113","48","20"
46138,MU - FKT U17 - Admira Praha U17 - 26.4. 2026,Voloshyn,all, game, 46138.532502315,46138.61921875,"7492",7.8335,857.126,67,934.2421,0,0,0,290.2498,29.6242,62.7348,4.9695,24.6296,0,8.1744,5.6889,"0.8329","4.0968","2.0467","0.7223","0.1348","4209.9","2598.5","539.3","126.5","18","66","0","0","0","0","0","44","14","7","2","3.0416","0.627","0.2142","0.0548","0.0323","2109.3","243.2","65.3","15.9","8.8","3.0045","0.6588","0.1568","0.036","0.0075","4719","250.6","59.3","17","3.8","1.6761","2.4254","1.1786","0.8937","0.6141","0.3612","0.2476","0.1519","0.093","0.079","0.1127","4922.5","1539.1","416.4","247.3","144.4","79.4","49.8","31.9","19.5","15.9","26","7492.3","0","0","0","0","0","145","83","38","17","0","128","103","27","30"
46138,MU - FKT U17 - Admira Praha U17 - 26.4. 2026,Moucka,all, game, 46138.606704861,46138.622105324,"1331",1.3206,117.146,11,157.2367,0,0,0,53.9549,25.4242,59.5322,4.7089,23.8013,0,5.5223,4.8371,"0.1481","0.726","0.3293","0.1128","0.0043","781.9","443.3","84.9","19.9","0.6","9","0","0","0","0","0","10","0","1","0","0.5384","0.1083","0.0296","0.0111","0.0026","425.7","42.2","10.1","3.4","0.8","0.487","0.102","0.0336","0.0062","0.0017","788.3","43.9","12.3","3","0.9","0.2596","0.4529","0.1981","0.1696","0.1025","0.0512","0.0251","0.0137","0.0123","0.0097","0.026","874.8","282.1","73","46.1","23","11.3","5.6","3.1","3.1","2.3","6.2","1330.6","0","0","0","0","0","30","13","8","4","0","25","17","9","2"
46138,MU - FKT U17 - Admira Praha U17 - 26.4. 2026,Kuti,all, game, 46138.533425926,46138.618950231,"7389",12.2666,1035.504,103,1172.5843,6,0,0,536.8314,30.4002,99.607,8.0481,40.7744,0,10,6.2889,"4.1455","4.8573","2.2284","0.8508","0.1847","5087.3","1656.8","480.3","140.1","24.7","387","6","0","0","0","0","57","26","8","12","4.9711","0.9554","0.318","0.107","0.0538","2892.4","354","104.8","33.6","14.4","4.5469","0.9398","0.2713","0.0834","0.0199","3465.9","369.9","108.6","35.3","10.3","1.9","2.8197","2.6974","1.8708","1.1952","0.6935","0.3812","0.2305","0.1615","0.091","0.2258","3581.2","1715.5","936.8","504.3","271","146.2","77.9","48.5","33.6","20.3","53.9","7389.3","0","0","0","0","0","213","166","80","38","0","244","129","85","51"
46138,MU - FKT U17 - Admira Praha U17 - 26.4. 2026,Stekly,all, game, 46138.606695602,46138.618648148,"1033",1.3512,169.847,10,163.4649,3,0,0,65.3928,24.1922,78.4792,6.3076,28.6434,0,6.0038,4.3223,"0.1522","0.6456","0.3835","0.1698","0","500.3","402.6","100.8","29","0","68","3","0","0","0","0","4","2","3","1","0.5469","0.1158","0.0312","0.0119","0.0028","419.1","43.6","9.4","3.5","0.8","0.4843","0.1188","0.0332","0.0046","0.0016","493.4","47.5","12.1","2.3","1","0.2956","0.3381","0.22","0.1761","0.1232","0.0838","0.0438","0.0285","0.0146","0.0078","0.0197","621.2","212.7","78.8","48.2","28.9","16.6","10.1","6.4","3.3","1.9","4.6","1032.7","0","0","0","0","0","25","25","5","5","0","29","14","7","4"
46138,MU - FKT U17 - Admira Praha U17 - 26.4. 2026,Dvorak (09),all, game, 46138.533797454,46138.619050926,"7366",11.7909,1597.524,108,1442.2013,1,0,0,473.6856,26.9922,96.0431,7.8027,40.3902,0,6.3423,5.4223,"0.9815","5.051","4.1608","1.5382","0.0593","3046.5","2950.8","1089.1","271.3","8.2","197","1","0","0","0","0","54","35","11","8","4.4639","1.066","0.3181","0.1004","0.0522","2631.9","397.9","106","33","16","4.4092","1.0281","0.2792","0.0639","0.0097","3621.6","411.2","113.1","29.7","5.5","1.7231","2.7758","2.2518","1.9593","1.3473","0.7456","0.3724","0.2327","0.1348","0.0881","0.16","3667.3","1694.1","789.1","527.5","306.3","159.8","82","52.1","30.1","20.2","37.4","7365.9","0","0","0","0","0","224","176","82","26","0","227","162","60","57"
46138,MU - FKT U17 - Admira Praha U17 - 26.4. 2026,Dudek,all, game, 46138.532909722,46138.615905093,"7171",11.3268,1109.231,77,1363.4615,5,0,0,459.539,31.8883,94.7719,7.5769,40.3238,0,7.7423,6.2829,"0.9782","5.6639","3.5755","0.9884","0.1209","2611","3418.3","952.2","173.2","16","231","5","0","0","0","0","39","19","14","5","4.4967","0.8833","0.2596","0.113","0.058","2752.9","356.7","87","35.5","15.4","4.2914","0.898","0.253","0.059","0.0148","3407.2","383.4","99.5","25.9","7.2","1.9091","3.2473","2.1997","1.6931","0.9393","0.5222","0.2809","0.1814","0.1107","0.0622","0.1811","3394.1","2015.8","771.8","470.4","223","116.3","61.3","39.9","24.3","13.8","40","7170.8","0","0","0","0","0","208","164","74","30","0","248","125","60","52"
